[0. 0. 0.]1619130713.872374
[0. 0. 0.]1619130713.874143
[0. 0. 0.]1619130713.8752656
[0. 0. 0.]1619130713.8818088
[0. 0. 0.]1619130713.882453
[0. 0. 0.]1619130713.8829818
[0. 0. 0.]1619130713.9068303
[0. 0. 0.]1619130713.907378
[0. 0. 0.]1619130713.9078057
[0. 0. 0.]1619130713.921784
[0. 0. 0.]1619130713.9222794
[0. 0. 0.]1619130713.9226797
[0. 0. 0.]1619130713.947076
[0. 0. 0.]1619130713.947589
[0. 0. 0.]1619130713.9480472
[0. 0. 0.]1619130713.9618332
[0. 0. 0.]1619130713.96246
[0. 0. 0.]1619130713.9629009
[0. 0. 0.]1619130713.9868696
[0. 0. 0.]1619130713.987449
[0. 0. 0.]1619130713.9878922
[0. 0. 0.]1619130714.0024035
[0. 0. 0.]1619130714.0031931
[0. 0. 0.]1619130714.0037985
[0. 0. 0.]1619130714.027446
[0. 0. 0.]1619130714.0278537
[0. 0. 0.]1619130714.0281587
[0. 0. 0.]1619130714.0420432
[0. 0. 0.]1619130714.0424457
[0. 0. 0.]1619130714.0427344
[0. 0. 0.]1619130714.0675893
[0. 0. 0.]1619130714.0680704
[0. 0. 0.]1619130714.068564
[0. 0. 0.]1619130714.0818467
[0. 0. 0.]1619130714.082356
[0. 0. 0.]1619130714.082891
[0. 0. 0.]1619130714.1069522
[0. 0. 0.]1619130714.107341
[0. 0. 0.]1619130714.1076224
[0. 0. 0.]1619130714.1217506
[0. 0. 0.]1619130714.1222281
[0. 0. 0.]1619130714.1225708
[0. 0. 0.]1619130714.147975
[0. 0. 0.]1619130714.1484208
[0. 0. 0.]1619130714.1487577
[0. 0. 0.]1619130714.162941
[0. 0. 0.]1619130714.163391
[0. 0. 0.]1619130714.163795
[0. 0. 0.]1619130714.1876965
[0. 0. 0.]1619130714.188139
[388.47543819 141.90976411 901.84102738]1619130714.231351
[388.47543819 141.90976411 901.84102738]1619130714.2475517
[388.47543819 141.90976411 901.84102738]1619130714.270709
[388.47543819 141.90976411 901.84102738]1619130714.2869587
[388.47526731 141.9097898  901.84078367]1619130714.310482
[388.47510049 141.90973477 901.84054856]1619130714.3265965
