b'<Run|MPos:0.000,0.000,-0.020|FS:84,0>\r\n'TimeStamp:1619130825.8035715
b'<Run|MPos:0.000,0.000,-0.040|FS:90,0>\r\n'TimeStamp:1619130825.838311
b'<Run|MPos:0.000,0.000,-0.080|FS:108,0>\r\n'TimeStamp:1619130825.8666122
b'<Run|MPos:0.000,0.000,-0.120|FS:126,0>\r\n'TimeStamp:1619130825.8958955
b'<Run|MPos:0.000,0.000,-0.170|FS:138,0>\r\n'TimeStamp:1619130825.9222388
b'<Run|MPos:0.000,0.000,-0.220|FS:156,0>\r\n'TimeStamp:1619130825.948542
b'<Run|MPos:0.000,0.000,-0.280|FS:174,0>\r\n'TimeStamp:1619130825.9763005
b'<Run|MPos:0.000,0.000,-0.350|FS:186,0>\r\n'TimeStamp:1619130826.0024936
b'<Run|MPos:0.000,0.000,-0.420|FS:204,0>\r\n'TimeStamp:1619130826.0293026
b'<Run|MPos:0.000,0.000,-0.500|FS:216,0>\r\n'TimeStamp:1619130826.0586488
b'<Run|MPos:0.000,0.000,-0.600|FS:234,0>\r\n'TimeStamp:1619130826.0849974
b'<Run|MPos:0.000,0.000,-0.700|FS:252,0>\r\n'TimeStamp:1619130826.1126416
b'<Run|MPos:0.000,0.000,-0.800|FS:270,0>\r\n'TimeStamp:1619130826.1388822
b'<Run|MPos:0.000,0.000,-0.910|FS:282,0>\r\n'TimeStamp:1619130826.1651232
b'<Run|MPos:0.000,0.000,-1.030|FS:300,0>\r\n'TimeStamp:1619130826.1915777
b'<Run|MPos:0.000,0.000,-1.150|FS:318,0|WCO:0.000,0.000,0.000>\r\n'TimeStamp:1619130826.2200963
b'<Run|MPos:0.000,0.000,-1.290|FS:330,0|Ov:100,100,100>\r\n'TimeStamp:1619130826.250378
b'<Run|MPos:0.000,0.000,-1.450|FS:354,0>\r\n'TimeStamp:1619130826.2773066
b'<Run|MPos:0.000,0.000,-1.600|FS:366,0>\r\n'TimeStamp:1619130826.3040626
b'<Run|MPos:0.000,0.000,-1.750|FS:384,0>\r\n'TimeStamp:1619130826.3370717
b'<Run|MPos:0.000,0.000,-1.950|FS:402,0>\r\n'TimeStamp:1619130826.3634021
b'<Run|MPos:0.000,0.000,-2.120|FS:420,0>\r\n'TimeStamp:1619130826.3897946
b'<Run|MPos:0.000,0.000,-2.300|FS:432,0>\r\n'TimeStamp:1619130826.4164352
b'<Run|MPos:0.000,0.000,-2.480|FS:450,0>\r\n'TimeStamp:1619130826.442762
b'<Run|MPos:0.000,0.000,-2.670|FS:468,0>\r\n'TimeStamp:1619130826.468921
b'<Run|MPos:0.000,0.000,-2.870|FS:480,0>\r\n'TimeStamp:1619130826.496484
b'<Run|MPos:0.000,0.000,-3.080|FS:498,0>\r\n'TimeStamp:1619130826.5226524
b'<Run|MPos:0.000,0.000,-3.290|FS:516,0>\r\n'TimeStamp:1619130826.5487914
b'<Run|MPos:0.000,0.000,-3.500|FS:528,0>\r\n'TimeStamp:1619130826.5781915
b'<Run|MPos:0.000,0.000,-3.750|FS:546,0>\r\n'TimeStamp:1619130826.6044576
b'<Run|MPos:0.000,0.000,-3.980|FS:564,0>\r\n'TimeStamp:1619130826.630842
b'<Run|MPos:0.000,0.000,-4.230|FS:576,0>\r\n'TimeStamp:1619130826.6576211
b'<Run|MPos:0.000,0.000,-4.470|FS:594,0>\r\n'TimeStamp:1619130826.6837776
b'<Run|MPos:0.000,0.000,-4.720|FS:612,0>\r\n'TimeStamp:1619130826.7104442
b'<Run|MPos:0.000,0.000,-4.980|FS:624,0>\r\n'TimeStamp:1619130826.73668
b'<Run|MPos:0.000,0.000,-5.250|FS:642,0>\r\n'TimeStamp:1619130826.762856
b'<Run|MPos:0.000,0.000,-5.530|FS:660,0|Ov:100,100,100>\r\n'TimeStamp:1619130826.7929895
b'<Run|MPos:0.000,0.000,-5.860|FS:678,0>\r\n'TimeStamp:1619130826.820369
b'<Run|MPos:0.000,0.000,-6.140|FS:690,0>\r\n'TimeStamp:1619130826.8478262
b'<Run|MPos:0.000,0.000,-6.450|FS:708,0>\r\n'TimeStamp:1619130826.8742006
b'<Run|MPos:0.000,0.000,-6.760|FS:726,0>\r\n'TimeStamp:1619130826.9006221
b'<Run|MPos:0.000,0.000,-7.070|FS:738,0>\r\n'TimeStamp:1619130826.927583
b'<Run|MPos:0.000,0.000,-7.390|FS:756,0>\r\n'TimeStamp:1619130826.954247
b'<Run|MPos:0.000,0.000,-7.730|FS:774,0>\r\n'TimeStamp:1619130826.9810035
b'<Run|MPos:0.000,0.000,-8.050|FS:786,0>\r\n'TimeStamp:1619130827.0075722
b'<Run|MPos:0.000,0.000,-8.400|FS:804,0|WCO:0.000,0.000,0.000>\r\n'TimeStamp:1619130827.0362892
b'<Run|MPos:0.000,0.000,-8.770|FS:822,0>\r\n'TimeStamp:1619130827.0625355
b'<Run|MPos:0.000,0.000,-9.120|FS:840,0>\r\n'TimeStamp:1619130827.0906334
b'<Run|MPos:0.000,0.000,-9.530|FS:858,0>\r\n'TimeStamp:1619130827.1189103
b'<Run|MPos:0.000,0.000,-9.900|FS:870,0>\r\n'TimeStamp:1619130827.1525881
b'<Run|MPos:0.000,0.000,-10.380|FS:894,0>\r\n'TimeStamp:1619130827.1788867
b'<Run|MPos:0.000,0.000,-10.760|FS:906,0>\r\n'TimeStamp:1619130827.2054741
b'<Run|MPos:0.000,0.000,-11.160|FS:924,0>\r\n'TimeStamp:1619130827.2317634
b'<Run|MPos:0.000,0.000,-11.560|FS:942,0>\r\n'TimeStamp:1619130827.2588649
b'<Run|MPos:0.000,0.000,-11.970|FS:954,0>\r\n'TimeStamp:1619130827.2852957
b'<Run|MPos:0.000,0.000,-12.380|FS:972,0>\r\n'TimeStamp:1619130827.3130028
b'<Run|MPos:0.000,0.000,-12.820|FS:990,0|Ov:100,100,100>\r\n'TimeStamp:1619130827.340828
b'<Run|MPos:0.000,0.000,-13.270|FS:1002,0>\r\n'TimeStamp:1619130827.369835
b'<Run|MPos:0.000,0.000,-13.760|FS:1020,0>\r\n'TimeStamp:1619130827.3968053
b'<Run|MPos:0.000,0.000,-14.200|FS:1038,0>\r\n'TimeStamp:1619130827.4271538
b'<Run|MPos:0.000,0.000,-14.730|FS:1056,0>\r\n'TimeStamp:1619130827.4624126
b'<Run|MPos:0.000,0.000,-15.330|FS:1080,0>\r\n'TimeStamp:1619130827.4935908
b'<Run|MPos:0.000,0.000,-15.880|FS:1098,0>\r\n'TimeStamp:1619130827.5200217
b'<Run|MPos:0.000,0.000,-16.350|FS:1110,0>\r\n'TimeStamp:1619130827.5543537
b'<Run|MPos:0.000,0.000,-16.980|FS:1134,0>\r\n'TimeStamp:1619130827.580747
b'<Run|MPos:0.000,0.000,-17.470|FS:1146,0>\r\n'TimeStamp:1619130827.608645
b'<Run|MPos:0.000,0.000,-17.990|FS:1164,0>\r\n'TimeStamp:1619130827.6350727
b'<Run|MPos:0.000,0.000,-18.520|FS:1182,0>\r\n'TimeStamp:1619130827.6645474
b'<Run|MPos:0.000,0.000,-19.080|FS:1200,0>\r\n'TimeStamp:1619130827.699404
b'<Run|MPos:0.000,0.000,-19.750|FS:1218,0>\r\n'TimeStamp:1619130827.7258198
b'<Run|MPos:0.000,0.000,-20.280|FS:1236,0>\r\n'TimeStamp:1619130827.7521865
b'<Run|MPos:0.000,0.000,-20.820|FS:1254,0>\r\n'TimeStamp:1619130827.7787256
b'<Run|MPos:0.000,0.000,-21.360|FS:1266,0>\r\n'TimeStamp:1619130827.8051207
b'<Run|MPos:0.000,0.000,-21.910|FS:1284,0>\r\n'TimeStamp:1619130827.8316581
b'<Run|MPos:0.000,0.000,-22.470|FS:1302,0>\r\n'TimeStamp:1619130827.8582544
b'<Run|MPos:0.000,0.000,-23.040|FS:1314,0|WCO:0.000,0.000,0.000>\r\n'TimeStamp:1619130827.8847141
b'<Run|MPos:0.000,0.000,-23.620|FS:1332,0|Ov:100,100,100>\r\n'TimeStamp:1619130827.9129531
b'<Run|MPos:0.000,0.000,-24.230|FS:1350,0>\r\n'TimeStamp:1619130827.9393456
b'<Run|MPos:0.000,0.000,-24.810|FS:1362,0>\r\n'TimeStamp:1619130827.9658122
b'<Run|MPos:0.000,0.000,-25.410|FS:1380,0>\r\n'TimeStamp:1619130827.992373
b'<Run|MPos:0.000,0.000,-26.030|FS:1398,0>\r\n'TimeStamp:1619130828.0196614
b'<Run|MPos:0.000,0.000,-27.240|FS:1428,0>\r\n'TimeStamp:1619130828.071951
b'<Run|MPos:0.000,0.000,-27.880|FS:1446,0>\r\n'TimeStamp:1619130828.0992181
b'<Run|MPos:0.000,0.000,-28.500|FS:1458,0>\r\n'TimeStamp:1619130828.1257265
b'<Run|MPos:0.000,0.000,-29.140|FS:1476,0>\r\n'TimeStamp:1619130828.1526723
b'<Run|MPos:0.000,0.000,-29.800|FS:1494,0>\r\n'TimeStamp:1619130828.179455
b'<Run|MPos:0.000,0.000,-30.450|FS:1506,0>\r\n'TimeStamp:1619130828.2059226
b'<Run|MPos:0.000,0.000,-31.120|FS:1524,0>\r\n'TimeStamp:1619130828.233428
b'<Run|MPos:0.000,0.000,-31.800|FS:1542,0>\r\n'TimeStamp:1619130828.25999
b'<Run|MPos:0.000,0.000,-32.470|FS:1554,0>\r\n'TimeStamp:1619130828.286502
b'<Run|MPos:0.000,0.000,-33.150|FS:1572,0>\r\n'TimeStamp:1619130828.3130267
b'<Run|MPos:0.000,0.000,-33.840|FS:1590,0>\r\n'TimeStamp:1619130828.3396559
b'<Run|MPos:0.000,0.000,-34.530|FS:1602,0>\r\n'TimeStamp:1619130828.3661578
b'<Run|MPos:0.000,0.000,-35.230|FS:1620,0>\r\n'TimeStamp:1619130828.392674
b'<Run|MPos:0.000,0.000,-35.950|FS:1638,0>\r\n'TimeStamp:1619130828.4195538
b'<Run|MPos:0.000,0.000,-36.670|FS:1650,0>\r\n'TimeStamp:1619130828.4461553
b'<Run|MPos:0.000,0.000,-37.400|FS:1668,0|Ov:100,100,100>\r\n'TimeStamp:1619130828.4759407
b'<Run|MPos:0.000,0.000,-38.210|FS:1686,0>\r\n'TimeStamp:1619130828.502481
b'<Run|MPos:0.000,0.000,-38.950|FS:1704,0>\r\n'TimeStamp:1619130828.5305905
b'<Run|MPos:0.000,0.000,-39.750|FS:1716,0>\r\n'TimeStamp:1619130828.5576205
b'<Run|MPos:0.000,0.000,-40.500|FS:1734,0>\r\n'TimeStamp:1619130828.5841162
b'<Run|MPos:0.000,0.000,-41.260|FS:1752,0>\r\n'TimeStamp:1619130828.6117692
b'<Run|MPos:0.000,0.000,-42.060|FS:1770,0>\r\n'TimeStamp:1619130828.6384711
b'<Run|MPos:0.000,0.000,-42.850|FS:1782,0>\r\n'TimeStamp:1619130828.6732578
b'<Run|MPos:0.000,0.000,-43.930|FS:1806,0>\r\n'TimeStamp:1619130828.7020931
b'<Run|MPos:0.000,0.000,-44.720|FS:1824,0|WCO:0.000,0.000,0.000>\r\n'TimeStamp:1619130828.7371619
b'<Run|MPos:0.000,0.000,-45.780|FS:1842,0>\r\n'TimeStamp:1619130828.764016
b'<Run|MPos:0.000,0.000,-46.590|FS:1860,0>\r\n'TimeStamp:1619130828.7940032
b'<Run|MPos:0.000,0.000,-47.560|FS:1878,0>\r\n'TimeStamp:1619130828.8223693
b'<Run|MPos:0.000,0.000,-48.390|FS:1896,0>\r\n'TimeStamp:1619130828.8515894
b'<Run|MPos:0.000,0.000,-49.320|FS:1914,0>\r\n'TimeStamp:1619130828.8787882
b'<Run|MPos:0.000,0.000,-50.160|FS:1926,0>\r\n'TimeStamp:1619130828.9070334
b'<Run|MPos:0.000,0.000,-51.110|FS:1944,0>\r\n'TimeStamp:1619130828.9382172
b'<Run|MPos:0.000,0.000,-52.060|FS:1962,0>\r\n'TimeStamp:1619130828.964605
b'<Run|MPos:0.000,0.000,-52.930|FS:1980,0>\r\n'TimeStamp:1619130828.9926653
b'<Run|MPos:0.000,0.000,-53.830|FS:1998,0>\r\n'TimeStamp:1619130829.019217
